Life_expectancy,Physician,Junior_col,University,Public_Hosp,Pshic_hosp,Beds_psic,Nurses,Avg_hours,Salary,Elementary_school,Sport_fac,Park,Forest,Income_per capita,Density_pop,Hospitals,Beds,Ambulances,Health_exp,Educ_exp,Welfare_exp,PC1,PC2,Cluster
84.38,255.5,12.2,13.4,19.2,1.6,545.5,1463.0,175.0,258.2,18.8,603.3,11.9,75.5,2468.0,570.1,11.2,1326.4,5.2,3.32,20.23,15.88,-3.6429533602536814,1.048237834220744,0
84.48,205.8,14.7,24.9,16.1,0.5,195.8,749.1,173.5,314.95,9.6,246.1,5.5,30.1,3116.0,1778.4,4.1,806.2,4.2,3.53,25.44,18.24,4.168531017247206,-0.6257586824520246,1
84.09,285.7,13.2,21.8,8.0,0.4,205.5,954.9,173.0,327.15,10.2,133.5,10.5,29.9,3190.0,6624.7,5.4,1026.5,3.6,2.31,20.94,21.42,4.474473042671247,1.810014767801158,1
82.8,212.5,11.4,11.8,42.9,1.4,348.7,1108.8,174.5,254.5,22.0,554.4,11.8,63.6,2507.0,380.5,6.2,1112.8,9.1,3.4,20.98,15.92,-3.450387756696216,-3.2036258913566065,2
85.25,332.6,13.3,24.0,16.4,0.4,229.8,1015.4,172.0,321.55,9.7,258.7,20.6,74.2,2983.0,2189.8,5.9,1130.5,4.5,2.74,20.62,19.24,2.8431644587828404,1.6309894180944804,1
84.83,250.1,15.9,19.9,34.6,1.0,280.6,975.2,174.0,295.0,12.4,754.0,27.1,77.8,3160.0,849.8,6.4,1080.8,8.0,3.2,20.87,12.34,0.0060994197116421,-1.261033371675483,1
84.24,283.6,14.4,14.0,9.1,2.3,589.5,1562.5,175.0,265.1,16.9,625.2,13.6,63.7,2509.0,483.0,12.4,1578.1,8.8,3.32,23.49,17.85,-4.058821116752039,2.8385760334404706,0
84.61,246.3,12.2,18.4,33.9,1.2,266.7,931.1,176.0,292.2,13.0,387.9,23.5,55.4,2945.0,722.6,4.7,857.0,5.3,2.9,17.21,13.48,0.5011488922921011,-1.3658833601688447,1
84.31,257.2,13.9,15.8,18.2,0.9,360.4,1096.1,174.5,265.0,13.0,348.7,35.7,46.7,2391.0,1302.6,5.2,1044.5,5.7,4.37,24.61,17.73,0.4697296595225679,-0.3319025060685029,1
83.95,236.9,13.2,17.3,8.0,0.9,249.3,921.6,172.5,300.75,14.5,486.9,20.8,52.9,3479.0,643.3,4.5,896.0,5.5,4.21,25.05,16.23,1.605462439302429,-1.272399061471024,1
84.16,233.8,14.7,17.5,16.5,0.7,257.5,1054.1,174.0,295.05,14.6,626.0,14.0,64.0,3283.0,854.6,5.9,1047.7,5.8,2.59,24.21,17.28,0.858419524564333,-0.5159479685648104,1
84.0,251.3,14.1,14.4,21.1,1.3,373.9,1274.1,174.0,282.3,15.8,743.4,11.2,67.7,2742.0,230.2,9.2,1500.7,8.1,2.52,17.74,16.18,-2.518777787470064,0.4156696928248041,0
84.54,219.4,13.9,19.5,24.3,0.9,180.4,855.1,173.0,300.05,15.5,373.1,10.8,62.8,3432.0,1309.4,3.9,842.4,4.8,4.17,21.17,16.83,1.873024165700316,-1.8703630178743125,1
84.63,314.8,13.4,16.6,33.3,0.7,320.6,1341.0,173.0,267.5,13.0,957.3,14.0,73.4,2515.0,611.9,7.0,1372.9,6.0,3.61,19.09,13.63,-2.09914578344766,-0.3255532157378511,2
84.65,224.4,13.6,23.7,13.7,0.5,164.3,845.4,171.5,319.45,12.9,234.5,17.2,42.1,3728.0,2517.7,3.8,758.7,3.7,2.06,21.41,16.53,4.4270071239711175,-0.5875780733317011,1
85.06,267.1,16.1,23.1,14.1,1.1,309.7,1198.5,174.5,302.75,9.6,387.7,4.5,71.9,3109.0,1217.9,7.4,1090.0,6.0,3.59,20.43,17.98,1.0848986261780933,1.6011775591806936,1
84.39,229.2,12.2,13.7,49.1,1.3,326.9,1045.1,173.0,260.9,16.7,590.7,16.7,69.0,2897.0,371.7,5.0,1051.7,7.4,5.47,19.28,13.18,-2.116095996161244,-3.418314584157663,2
84.64,231.6,12.2,18.0,25.9,0.7,260.3,948.6,176.0,304.4,15.4,365.9,36.1,64.2,3121.0,857.6,4.6,903.4,6.8,3.58,25.42,17.18,1.2602373475937858,-1.4476285689101769,1
84.43,204.3,13.6,14.5,30.5,0.9,283.6,948.7,173.0,268.4,18.8,652.7,25.2,63.5,2916.0,483.8,4.8,982.2,7.2,3.84,17.42,12.72,-0.9320045331561608,-3.0002496983675666,2
84.35,338.4,13.1,19.2,15.2,2.1,496.8,1374.7,172.0,282.95,16.4,498.6,9.3,75.4,3092.0,708.2,12.8,1440.7,7.4,5.0,17.41,13.38,-3.1994373188273717,1.9448843706959489,0
83.85,207.3,12.7,12.7,42.9,1.2,339.6,1045.7,173.5,255.65,20.7,732.3,4.7,74.6,2841.0,322.7,6.4,1070.8,8.4,6.05,16.04,10.31,-3.694018513293889,-4.12888105913951,2
85.07,297.0,12.8,16.3,18.2,2.2,502.7,1524.4,176.0,276.05,16.1,520.2,21.0,61.8,2667.0,632.8,9.8,1440.2,6.9,3.6,17.09,17.18,-2.942733027847806,2.364020364963227,0
84.97,223.0,15.1,29.2,11.8,0.5,147.7,715.0,174.0,345.8,7.6,159.7,22.8,38.7,3268.0,6267.5,3.1,676.9,3.4,2.82,21.51,23.01,6.818790484301519,0.8885822985521863,1
84.6,290.3,13.1,15.7,16.3,1.7,512.8,1528.5,177.5,269.75,15.5,604.1,11.0,45.3,2753.0,608.0,10.6,1455.7,6.3,2.96,22.49,15.24,-2.821899214147181,2.4029879767976388,0
84.81,266.1,13.7,24.5,16.6,0.6,211.2,988.3,173.5,315.35,10.7,211.6,19.8,66.9,2968.0,1973.3,5.7,981.0,4.2,2.93,20.43,17.8,2.826810048762061,0.6152366459264851,1
84.6,290.0,14.3,20.8,23.4,1.2,345.1,1278.9,175.0,290.9,11.9,487.0,10.9,46.4,3013.0,945.6,8.1,1188.6,5.6,4.02,21.53,15.26,-0.1102156270010392,1.0058244473654947,1
84.24,276.7,14.2,18.0,17.4,1.0,329.7,1277.5,178.0,272.5,15.2,482.7,7.2,70.5,2658.0,801.2,9.1,1274.2,7.1,4.82,20.47,15.6,-1.9939260719565397,0.6074450706772463,0
85.46,243.8,16.9,18.1,24.3,0.7,226.1,1040.6,171.0,291.5,12.3,954.2,20.5,75.3,3010.0,630.4,5.4,1010.2,7.1,2.61,25.09,15.48,1.0048581702251955,-0.9679245666405104,1
84.2,307.8,12.9,16.3,21.3,0.9,222.0,1171.8,175.0,289.55,16.0,469.1,12.6,76.2,2913.0,821.3,8.1,1227.2,9.1,2.33,19.84,14.37,-1.3847800418932503,0.119925567905804,2
83.71,205.7,11.6,13.1,20.6,1.3,339.8,994.7,173.0,275.9,16.9,737.8,13.0,68.0,2943.0,433.3,5.6,1033.2,7.4,3.09,17.63,18.81,-1.41402321110465,-1.848993152920279,2
84.38,177.8,15.1,23.9,7.4,0.6,187.5,704.0,174.0,310.35,10.3,225.0,32.8,31.4,3047.0,2821.6,4.0,713.5,3.9,3.08,27.53,20.49,5.174909800607919,-0.4874270980627141,1
83.79,242.6,11.3,11.9,34.0,1.7,404.6,1105.5,173.0,257.3,19.0,877.2,10.6,70.3,2697.0,296.8,5.2,1168.5,9.0,3.24,17.93,13.5,-3.661092393700876,-2.4596386888479347,2
85.1,320.1,13.9,20.4,16.6,0.8,279.2,1200.5,175.0,290.55,11.4,441.7,11.3,68.1,2769.0,847.5,7.7,1199.9,6.4,2.17,20.93,16.41,0.2037418510902204,1.7284381988004878,1
85.18,277.1,15.2,26.3,21.1,0.3,218.0,936.8,173.0,308.2,9.7,360.9,17.2,76.9,2632.0,1551.1,5.4,1122.0,6.2,4.06,24.66,17.52,2.3528994058580848,0.210516155518581,1
84.28,260.1,13.5,16.9,19.3,2.1,435.5,1404.1,174.0,292.1,12.5,535.4,7.0,71.4,3199.0,782.5,8.5,1430.5,6.9,3.21,23.56,15.21,-1.8265826480120275,1.3588420400329615,0
85.06,291.6,14.7,19.8,28.2,1.1,325.9,1199.3,174.0,293.9,14.8,725.8,12.6,66.3,3023.0,812.1,6.9,1221.1,5.7,2.51,20.12,13.93,-0.4807538927935259,0.4098899426439237,1
84.91,287.1,13.5,15.9,10.2,2.2,466.1,1449.5,176.0,274.3,12.8,510.9,27.6,70.8,2714.0,626.1,11.4,1297.8,6.7,2.58,21.21,15.15,-2.22432478792996,2.671037570612217,0
